difficulty,past_score,days_left,recommended_hours
5,30,7,4.5
4,45,10,3.8
3,60,14,2.5
2,75,21,1.5
1,90,30,0.8
5,20,5,5.0
4,35,8,4.2
3,50,12,3.0
2,65,18,2.0
1,80,25,1.2
5,40,15,3.5
4,55,20,2.8
3,70,25,2.0
2,85,30,1.0
1,95,45,0.5
5,25,6,4.8
4,40,9,4.0
3,55,13,3.2
2,70,20,1.8
1,85,28,1.0
4,30,7,4.5
3,45,10,3.5
2,60,15,2.5
1,75,22,1.5
5,50,20,3.0
3,65,18,2.2
2,80,25,1.3
1,95,35,0.6
5,35,8,4.3
4,50,12,3.2
3,40,9,3.8
5,55,18,3.0
4,65,22,2.5
2,55,14,2.2
3,35,7,4.0
1,70,20,1.4
5,45,12,3.6
4,60,16,2.7
3,75,22,2.0
2,90,30,0.9
5,30,5,5.0
4,40,8,4.1
3,50,11,3.3
2,65,17,1.9
1,80,26,1.1
5,20,4,5.0
4,35,7,4.4
3,45,10,3.6
2,60,15,2.3
1,75,22,1.4
4,70,24,2.2
3,80,28,1.7
2,50,12,2.6
5,60,22,2.8
1,85,30,1.0
4,25,5,4.9
3,30,6,4.5
5,15,3,5.0
2,45,10,2.8
1,60,18,1.6
4,80,28,1.8
3,85,32,1.5
5,70,25,2.6
2,75,24,1.6
1,90,36,0.7
